codauto;ccaa;cpro;provincia;sexo;grupo_edad;ola;num_def;num_casos;num_hosp;num_uci;poblacion_total;lat_prov;long_prov;long_ccaa;lat_ccaa
08;Castilla-La Mancha;02;Albacete;NC;0-9;primera_etapa;0;1;1;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;0-9;segunda_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;0-9;tercera_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;10-19;primera_etapa;0;1;1;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;10-19;segunda_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;10-19;tercera_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;20-29;primera_etapa;0;9;4;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;20-29;segunda_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;20-29;tercera_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;30-39;primera_etapa;0;8;2;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;30-39;segunda_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;30-39;tercera_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;40-49;primera_etapa;0;15;7;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;40-49;segunda_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;40-49;tercera_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;50-59;primera_etapa;0;21;9;1;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;50-59;segunda_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;50-59;tercera_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;60-69;primera_etapa;0;7;5;2;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;60-69;segunda_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;60-69;tercera_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;70-79;primera_etapa;4;18;11;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;70-79;segunda_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;70-79;tercera_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;80+;primera_etapa;12;37;21;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;80+;segunda_etapa;1;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;80+;tercera_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;NC;primera_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;NC;segunda_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
08;Castilla-La Mancha;02;Albacete;NC;NC;tercera_etapa;0;0;0;0;NA;38,825;-1,980;-3,00;39,5
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;0-9;primera_etapa;0;2;0;0;87169;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;0-9;segunda_etapa;0;1759;20;2;87169;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;0-9;tercera_etapa;0;3715;18;0;87169;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;10-19;primera_etapa;0;0;0;0;102476;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;10-19;segunda_etapa;0;2937;24;0;102476;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;10-19;tercera_etapa;0;5146;12;0;102476;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;20-29;primera_etapa;0;2;0;0;98681;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;20-29;segunda_etapa;1;3555;41;3;98681;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;20-29;tercera_etapa;1;4943;34;3;98681;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;30-39;primera_etapa;0;1;0;0;121998;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;30-39;segunda_etapa;0;3463;87;6;121998;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;30-39;tercera_etapa;1;5572;94;8;121998;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;40-49;primera_etapa;0;1;0;0;158110;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;40-49;segunda_etapa;7;4369;241;32;158110;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;40-49;tercera_etapa;14;6955;298;28;158110;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;50-59;primera_etapa;0;4;2;0;138380;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;50-59;segunda_etapa;21;3787;376;62;138380;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;50-59;tercera_etapa;49;6543;539;51;138380;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;60-69;primera_etapa;0;1;2;0;106513;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;60-69;segunda_etapa;54;2568;496;109;106513;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;60-69;tercera_etapa;125;4534;733;115;106513;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;70-79;primera_etapa;0;4;4;1;79361;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;70-79;segunda_etapa;92;1697;530;81;79361;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;70-79;tercera_etapa;256;2682;728;100;79361;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;80+;primera_etapa;0;0;1;0;39168;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;80+;segunda_etapa;170;1071;501;14;39168;38,479;-0,569;-0,50;39,3
10;Comunitat Valenciana;03;Alicante/Alacant;Hombres;80+;tercera_etapa;437;1888;818;14;39168;38,479;-0,569;-0,50;39,3
